"doc_id","date","quarter","phase","statement_type","text"
"ECB_20150128_pre",2015-01-28,"2015 Q1","low_rate","press_conf","economic recovery continues at a moderate pace. inflation remains well below our target of two percent. price pressures remain subdued reflecting low energy prices. the accommodative monetary policy stance supports the recovery. global trade tensions have increased uncertainty. risks to the growth outlook remain broadly balanced"
"ECB_20150130_pol",2015-01-30,"2015 Q1","low_rate","policy_statement","growth momentum remains resilient despite global uncertainties. business investment has strengthened gradually. price pressures remain subdued reflecting low energy prices. core inflation has yet to show sustained signs of convergence. the governing council decided to keep interest rates unchanged. geopolitical uncertainties continue to pose downside risks. global trade tensions have increased uncertainty"
"ECB_20150117_acc",2015-01-17,"2015 Q1","low_rate","account","growth momentum remains resilient despite global uncertainties. economic recovery continues at a moderate pace. core inflation has yet to show sustained signs of convergence. net asset purchases will continue as long as necessary. the accommodative monetary policy stance supports the recovery. global trade tensions have increased uncertainty"
"ECB_20150402_pre",2015-04-02,"2015 Q2","low_rate","press_conf","growth momentum remains resilient despite global uncertainties. core inflation has yet to show sustained signs of convergence. our asset purchase programme continues at the current monthly pace. net asset purchases will continue as long as necessary. global trade tensions have increased uncertainty"
"ECB_20150428_pol",2015-04-28,"2015 Q2","low_rate","policy_statement","economic recovery continues at a moderate pace. inflation remains well below our target of two percent. core inflation has yet to show sustained signs of convergence. our asset purchase programme continues at the current monthly pace. global trade tensions have increased uncertainty"
"ECB_20150406_acc",2015-04-06,"2015 Q2","low_rate","account","growth momentum remains resilient despite global uncertainties. inflation remains well below our target of two percent. core inflation has yet to show sustained signs of convergence. net asset purchases will continue as long as necessary. global trade tensions have increased uncertainty. protectionist threats warrant close monitoring"
"ECB_20150716_pre",2015-07-16,"2015 Q3","low_rate","press_conf","economic recovery continues at a moderate pace. the euro area economy expanded in line with expectations. inflation remains well below our target of two percent. the governing council decided to keep interest rates unchanged. global trade tensions have increased uncertainty"
"ECB_20150708_pol",2015-07-08,"2015 Q3","low_rate","policy_statement","domestic demand remains the main driver of growth. economic recovery continues at a moderate pace. price pressures remain subdued reflecting low energy prices. the governing council decided to keep interest rates unchanged. the accommodative monetary policy stance supports the recovery. geopolitical uncertainties continue to pose downside risks. risks to the growth outlook remain broadly balanced"
"ECB_20150703_acc",2015-07-03,"2015 Q3","low_rate","account","the euro area economy expanded in line with expectations. core inflation has yet to show sustained signs of convergence. underlying inflation continues to lack a convincing upward trend. the accommodative monetary policy stance supports the recovery. protectionist threats warrant close monitoring"
"ECB_20150930_pre",2015-09-30,"2015 Q3","low_rate","press_conf","domestic demand remains the main driver of growth. inflation remains well below our target of two percent. core inflation has yet to show sustained signs of convergence. the accommodative monetary policy stance supports the recovery. risks to the growth outlook remain broadly balanced"
