Topic,Count,Name,Representation,Representative_Docs
0,80,0_anticipées_expliquées_affectation_décisions,"['anticipées', 'expliquées', 'affectation', 'décisions', 'et', 'sont', 'les', '', '', '']","[""Les décisions d'affectation sont expliquées et anticipées."", ""Les décisions d'affectation sont expliquées et anticipées."", ""Les décisions d'affectation sont expliquées et anticipées.""]"
1,80,1_traitées_rapidement_désormais_par,"['traitées', 'rapidement', 'désormais', 'par', 'affectations', 'inspection', 'sont', 'les', '', '']","[""Les affectations sont désormais traitées rapidement par l'inspection."", ""Les affectations sont désormais traitées rapidement par l'inspection."", ""Les affectations sont désormais traitées rapidement par l'inspection.""]"
2,73,2_fluide_façon_se_fait,"['fluide', 'façon', 'se', 'fait', 'de', 'enseignants', 'redéploiement', 'le', 'des', '']","['Le redéploiement des enseignants se fait de façon fluide.', 'Le redéploiement des enseignants se fait de façon fluide.', 'Le redéploiement des enseignants se fait de façon fluide.']"
3,67,3_retard_sans_notable_organisés,"['retard', 'sans', 'notable', 'organisés', 'remplacements', 'sont', 'les', '', '', '']","['Les remplacements sont organisés sans retard notable.', 'Les remplacements sont organisés sans retard notable.', 'Les remplacements sont organisés sans retard notable.']"
4,64,4_on_claires_sur_informations,"['on', 'claires', 'sur', 'informations', 'manque', 'affectation', 'décisions', 'les', '', '']","[""On manque d'informations claires sur les décisions d'affectation."", ""On manque d'informations claires sur les décisions d'affectation."", ""On manque d'informations claires sur les décisions d'affectation.""]"
5,64,5_nettement_ief_année_cette,"['nettement', 'ief', 'année', 'cette', 'améliorée', 'coordination', 'avec', 'la', 'est', '']","[""La coordination avec l'IEF s'est nettement améliorée cette année."", ""La coordination avec l'IEF s'est nettement améliorée cette année."", ""La coordination avec l'IEF s'est nettement améliorée cette année.""]"
6,62,6_réactif_suivi_transparent_vacants,"['réactif', 'suivi', 'transparent', 'vacants', 'postes', 'le', 'et', 'est', 'des', '']","['Le suivi des postes vacants est réactif et transparent.', 'Le suivi des postes vacants est réactif et transparent.', 'Le suivi des postes vacants est réactif et transparent.']"
7,58,7_restent_rapide_faute_vacants,"['restent', 'rapide', 'faute', 'vacants', 'de', 'redéploiement', 'postes', 'des', '', '']","['Des postes restent vacants faute de redéploiement rapide.', 'Des postes restent vacants faute de redéploiement rapide.', 'Des postes restent vacants faute de redéploiement rapide.']"
8,56,8_mois_plusieurs_pourvus_ouverts,"['mois', 'plusieurs', 'pourvus', 'ouverts', 'avant', 'pas', 'ne', 'postes', 'sont', 'les']","['Les postes ouverts ne sont pas pourvus avant plusieurs mois.', 'Les postes ouverts ne sont pas pourvus avant plusieurs mois.', 'Les postes ouverts ne sont pas pourvus avant plusieurs mois.']"
9,56,9_lente_lisible_peu_avec,"['lente', 'lisible', 'peu', 'avec', 'coordination', 'inspection', 'la', 'et', 'est', '']","[""La coordination avec l'inspection est lente et peu lisible."", ""La coordination avec l'inspection est lente et peu lisible."", ""La coordination avec l'inspection est lente et peu lisible.""]"
10,52,10_assurés_absents_temps_ne,"['assurés', 'absents', 'temps', 'ne', 'pas', 'remplacements', 'enseignants', 'des', 'sont', 'les']","['Les remplacements des enseignants absents ne sont pas assurés à temps.', 'Les remplacements des enseignants absents ne sont pas assurés à temps.', 'Les remplacements des enseignants absents ne sont pas assurés à temps.']"
11,46,11_souvent_rentrée_trop_tard,"['souvent', 'rentrée', 'trop', 'tard', 'arrivent', 'après', 'affectations', 'la', 'enseignants', 'les']","[""Les affectations d'enseignants arrivent trop tard, souvent après la rentrée."", ""Les affectations d'enseignants arrivent trop tard, souvent après la rentrée."", ""Les affectations d'enseignants arrivent trop tard, souvent après la rentrée.""]"
12,42,12_procédures_bloqué_interminables_maîtres,"['procédures', 'bloqué', 'interminables', 'maîtres', 'des', 'par', 'redéploiement', 'le', 'est', '']","['Le redéploiement des maîtres est bloqué par des procédures interminables.', 'Le redéploiement des maîtres est bloqué par des procédures interminables.', 'Le redéploiement des maîtres est bloqué par des procédures interminables.']"
