id,ia_id,g_ia,texte
V0001,IA06,-0.09886818526410894,Les décisions d'affectation sont notifiées beaucoup trop tard.
V0002,IA04,1.050436228132796,Des classes entières demeurent sans titulaire une bonne partie de l'année.
V0003,IA08,-0.5589055756131087,Le remplacement des maîtres laissent des classes sans enseignant.
V0004,IA08,-0.5589055756131087,Les mouvements de personnel arrivent bien après la rentrée.
V0005,IA02,-0.6770804424361538,Le dialogue avec l'IEF manque de transparence.
V0006,IA12,0.8036427494500231,Le redéploiement des enseignants se fait de façon fluide.
V0007,IA09,1.508379536169013,Les remplacements laissent des classes sans enseignant.
V0008,IA11,0.5436260064330518,Plusieurs postes demeurent sans titulaire une bonne partie de l'année.
V0009,IA01,1.1358119908378483,Le remplacement des maîtres ne sont jamais assurés à temps.
V0010,IA10,-1.7249192939776967,Le dialogue avec l'IEF est lent et peu lisible.
V0011,IA08,-0.5589055756131087,Les remplacements sont assurés rapidement.
V0012,IA13,-0.5950300302811243,Les affectations d'enseignants sont notifiées beaucoup trop tard.
V0013,IA09,1.508379536169013,Le dialogue avec l'IEF est lent et peu lisible.
V0014,IA10,-1.7249192939776967,Le remplacement des maîtres dépendent du bon vouloir local.
V0015,IA03,0.4625650775900469,Les mouvements de personnel sont notifiées beaucoup trop tard.
V0016,IA11,0.5436260064330518,Plusieurs postes ne sont pas pourvus avant des mois.
V0017,IA04,1.050436228132796,Le redéploiement des enseignants répond vite aux besoins.
V0018,IA02,-0.6770804424361538,Le pilotage déconcentré se perd en circuits interminables.
V0019,IA02,-0.6770804424361538,Les mouvements de personnel traînent chaque année en longueur.
V0020,IA11,0.5436260064330518,La couverture des absences sont assurés rapidement.
V0021,IA01,1.1358119908378483,Les mouvements de personnel sont traitées rapidement.
V0022,IA10,-1.7249192939776967,Le pilotage déconcentré manque de transparence.
V0023,IA06,-0.09886818526410894,Les remplacements dépendent du bon vouloir local.
V0024,IA12,0.8036427494500231,Des classes entières demeurent sans titulaire une bonne partie de l'année.
V0025,IA11,0.5436260064330518,La réaffectation des maîtres répond vite aux besoins.
V0026,IA01,1.1358119908378483,Les décisions d'affectation sont traitées rapidement.
V0027,IA11,0.5436260064330518,La couverture des absences ne sont jamais assurés à temps.
V0028,IA02,-0.6770804424361538,La réaffectation des maîtres répond vite aux besoins.
V0029,IA09,1.508379536169013,La coordination avec l'IEF s'est nettement améliorée.
V0030,IA12,0.8036427494500231,Les remplacements ne sont jamais assurés à temps.
V0031,IA05,-1.961883486465059,Les remplacements sont organisés sans retard.
V0032,IA09,1.508379536169013,Les décisions d'affectation sont notifiées beaucoup trop tard.
V0033,IA01,1.1358119908378483,La coordination avec l'IEF est claire et efficace.
V0034,IA04,1.050436228132796,Les affectations sont traitées rapidement.
V0035,IA01,1.1358119908378483,Le remplacement des maîtres dépendent du bon vouloir local.
V0036,IA13,-0.5950300302811243,Le remplacement des maîtres dépendent du bon vouloir local.
V0037,IA14,0.361886464303974,La couverture des absences sont assurés rapidement.
V0038,IA10,-1.7249192939776967,La réaffectation des maîtres répond vite aux besoins.
V0039,IA11,0.5436260064330518,Les affectations arrivent désormais avant la rentrée.
V0040,IA13,-0.5950300302811243,Le dialogue avec l'inspection est claire et efficace.
V0041,IA13,-0.5950300302811243,Des classes entières restent vacants faute de redéploiement.
V0042,IA04,1.050436228132796,La coordination avec l'inspection est lent et peu lisible.
V0043,IA15,-0.5128143979953421,Plusieurs postes ne sont pas pourvus avant des mois.
V0044,IA09,1.508379536169013,Les décisions d'affectation sont traitées rapidement.
V0045,IA08,-0.5589055756131087,Les mouvements de personnel arrivent désormais avant la rentrée.
V0046,IA16,-0.4962851679537585,Les remplacements ne sont jamais assurés à temps.
V0047,IA05,-1.961883486465059,Le remplacement des maîtres dépendent du bon vouloir local.
V0048,IA08,-0.5589055756131087,Le redéploiement des enseignants se fait de façon fluide.
V0049,IA05,-1.961883486465059,Le remplacement des maîtres ne sont jamais assurés à temps.
V0050,IA15,-0.5128143979953421,Le pilotage déconcentré se perd en circuits interminables.
V0051,IA10,-1.7249192939776967,De nombreux postes ouverts restent vacants faute de redéploiement.
V0052,IA01,1.1358119908378483,La coordination avec l'IEF est claire et efficace.
V0053,IA04,1.050436228132796,Les décisions d'affectation traînent chaque année en longueur.
V0054,IA01,1.1358119908378483,Le dialogue avec l'inspection est claire et efficace.
V0055,IA06,-0.09886818526410894,Les remplacements sont organisés sans retard.
V0056,IA02,-0.6770804424361538,Les décisions d'affectation sont anticipées et expliquées.
V0057,IA08,-0.5589055756131087,Le remplacement des maîtres laissent des classes sans enseignant.
V0058,IA05,-1.961883486465059,Des classes entières restent vacants faute de redéploiement.
V0059,IA07,0.7594385270695994,Le dialogue avec l'IEF est lent et peu lisible.
V0060,IA16,-0.4962851679537585,La couverture des absences dépendent du bon vouloir local.
V0061,IA12,0.8036427494500231,Le pilotage déconcentré manque de transparence.
V0062,IA10,-1.7249192939776967,La coordination avec l'inspection est lent et peu lisible.
V0063,IA06,-0.09886818526410894,La couverture des absences dépendent du bon vouloir local.
V0064,IA14,0.361886464303974,Le dialogue avec l'IEF se perd en circuits interminables.
V0065,IA06,-0.09886818526410894,Les remplacements ne sont jamais assurés à temps.
V0066,IA11,0.5436260064330518,Les décisions d'affectation arrivent désormais avant la rentrée.
V0067,IA16,-0.4962851679537585,Des classes entières restent vacants faute de redéploiement.
V0068,IA06,-0.09886818526410894,Plusieurs postes demeurent sans titulaire une bonne partie de l'année.
V0069,IA02,-0.6770804424361538,Le dialogue avec l'IEF est lent et peu lisible.
V0070,IA14,0.361886464303974,Les décisions d'affectation sont traitées rapidement.
V0071,IA08,-0.5589055756131087,Les remplacements sont assurés rapidement.
V0072,IA15,-0.5128143979953421,Les remplacements ne sont jamais assurés à temps.
V0073,IA07,0.7594385270695994,Les décisions d'affectation sont anticipées et expliquées.
V0074,IA12,0.8036427494500231,La couverture des absences ne sont jamais assurés à temps.
V0075,IA04,1.050436228132796,Les décisions d'affectation sont traitées rapidement.
V0076,IA12,0.8036427494500231,Le suivi des postes vacants répond vite aux besoins.
V0077,IA10,-1.7249192939776967,Les remplacements ne sont jamais assurés à temps.
V0078,IA14,0.361886464303974,La couverture des absences sont organisés sans retard.
V0079,IA03,0.4625650775900469,Les remplacements sont organisés sans retard.
V0080,IA08,-0.5589055756131087,La coordination avec l'inspection est lent et peu lisible.
V0081,IA16,-0.4962851679537585,Les affectations d'enseignants traînent chaque année en longueur.
V0082,IA12,0.8036427494500231,Le dialogue avec l'inspection est claire et efficace.
V0083,IA10,-1.7249192939776967,Le pilotage déconcentré se perd en circuits interminables.
V0084,IA09,1.508379536169013,Le redéploiement des enseignants se fait de façon fluide.
V0085,IA11,0.5436260064330518,Les remplacements sont organisés sans retard.
V0086,IA15,-0.5128143979953421,Les décisions d'affectation arrivent désormais avant la rentrée.
V0087,IA03,0.4625650775900469,La coordination avec l'IEF est claire et efficace.
V0088,IA09,1.508379536169013,Le redéploiement des enseignants se fait de façon fluide.
V0089,IA06,-0.09886818526410894,Les affectations d'enseignants traînent chaque année en longueur.
V0090,IA04,1.050436228132796,Le dialogue avec l'inspection s'est nettement améliorée.
V0091,IA08,-0.5589055756131087,Plusieurs postes restent vacants faute de redéploiement.
V0092,IA13,-0.5950300302811243,Le pilotage déconcentré manque de transparence.
V0093,IA09,1.508379536169013,Le dialogue avec l'inspection s'est nettement améliorée.
V0094,IA10,-1.7249192939776967,Les affectations d'enseignants sont notifiées beaucoup trop tard.
V0095,IA03,0.4625650775900469,Le pilotage déconcentré se perd en circuits interminables.
V0096,IA09,1.508379536169013,Le dialogue avec l'inspection est claire et efficace.
V0097,IA12,0.8036427494500231,Plusieurs postes ne sont pas pourvus avant des mois.
V0098,IA06,-0.09886818526410894,La coordination avec l'IEF s'est nettement améliorée.
V0099,IA02,-0.6770804424361538,Le remplacement des maîtres laissent des classes sans enseignant.
V0100,IA12,0.8036427494500231,Des classes entières restent vacants faute de redéploiement.
V0101,IA01,1.1358119908378483,Le suivi des postes vacants se fait de façon fluide.
V0102,IA11,0.5436260064330518,La réaffectation des maîtres se fait de façon fluide.
V0103,IA04,1.050436228132796,Les décisions d'affectation arrivent bien après la rentrée.
V0104,IA14,0.361886464303974,La réaffectation des maîtres est réactif et transparent.
V0105,IA09,1.508379536169013,Les affectations sont traitées rapidement.
V0106,IA16,-0.4962851679537585,Des classes entières demeurent sans titulaire une bonne partie de l'année.
V0107,IA10,-1.7249192939776967,Plusieurs postes ne sont pas pourvus avant des mois.
V0108,IA02,-0.6770804424361538,Le remplacement des maîtres ne sont jamais assurés à temps.
V0109,IA04,1.050436228132796,Le redéploiement des enseignants répond vite aux besoins.
V0110,IA03,0.4625650775900469,Les affectations sont traitées rapidement.
V0111,IA07,0.7594385270695994,Les affectations arrivent désormais avant la rentrée.
V0112,IA15,-0.5128143979953421,Le dialogue avec l'IEF se perd en circuits interminables.
V0113,IA02,-0.6770804424361538,La couverture des absences dépendent du bon vouloir local.
V0114,IA04,1.050436228132796,Les mouvements de personnel sont traitées rapidement.
V0115,IA07,0.7594385270695994,Les décisions d'affectation sont anticipées et expliquées.
V0116,IA10,-1.7249192939776967,Le pilotage déconcentré se perd en circuits interminables.
V0117,IA06,-0.09886818526410894,Le redéploiement des enseignants est réactif et transparent.
V0118,IA03,0.4625650775900469,Le suivi des postes vacants répond vite aux besoins.
V0119,IA10,-1.7249192939776967,Les décisions d'affectation arrivent bien après la rentrée.
V0120,IA04,1.050436228132796,Le suivi des postes vacants répond vite aux besoins.
V0121,IA02,-0.6770804424361538,Le pilotage déconcentré est lent et peu lisible.
V0122,IA01,1.1358119908378483,Les affectations d'enseignants traînent chaque année en longueur.
V0123,IA11,0.5436260064330518,Les affectations d'enseignants traînent chaque année en longueur.
V0124,IA09,1.508379536169013,Le dialogue avec l'inspection est claire et efficace.
V0125,IA14,0.361886464303974,Le pilotage déconcentré se perd en circuits interminables.
V0126,IA02,-0.6770804424361538,De nombreux postes ouverts ne sont pas pourvus avant des mois.
V0127,IA07,0.7594385270695994,Les remplacements sont assurés rapidement.
V0128,IA02,-0.6770804424361538,Plusieurs postes ne sont pas pourvus avant des mois.
V0129,IA11,0.5436260064330518,Les décisions d'affectation sont traitées rapidement.
V0130,IA04,1.050436228132796,Le redéploiement des enseignants est réactif et transparent.
V0131,IA03,0.4625650775900469,Les décisions d'affectation arrivent désormais avant la rentrée.
V0132,IA08,-0.5589055756131087,La couverture des absences sont organisés sans retard.
V0133,IA13,-0.5950300302811243,La couverture des absences sont organisés sans retard.
V0134,IA14,0.361886464303974,Les affectations d'enseignants arrivent bien après la rentrée.
V0135,IA16,-0.4962851679537585,Le dialogue avec l'inspection s'est nettement améliorée.
V0136,IA16,-0.4962851679537585,Les remplacements ne sont jamais assurés à temps.
V0137,IA06,-0.09886818526410894,Les remplacements ne sont jamais assurés à temps.
V0138,IA05,-1.961883486465059,La couverture des absences sont organisés sans retard.
